fold,KAB-XGBoost-WCE,Baseline XGBoost,Stock scale_pos_weight,Decision Tree,Naive Bayes,Logistic Regression,SVM,Random Forest
32,0.6940092785584616,0.7168201516793067,0.6893939393939394,0.6893939393939394,0.7473663287616776,0.7181940700808624,0.6863929146537842,0.7016172506738545
33,0.6940092785584616,0.7168201516793067,0.7117123150070315,0.6203703703703703,0.6658715961041543,0.7281858970066296,0.6607832322118037,0.7092198581560283
34,0.7040106951871659,0.7320261437908497,0.7117123150070315,0.6974488720219271,0.6393923240938166,0.7077194650010183,0.7320261437908497,0.7487745098039216
35,0.6652505808164619,0.7168201516793067,0.704957356076759,0.7041847041847042,0.6076555023923444,0.7092198581560283,0.6774692395616217,0.67987987987988
36,0.6470470470470471,0.6622915690082368,0.6084880636604775,0.6284522439585731,0.6489213408562895,0.6546791443850267,0.6711229946524064,0.7092198581560283
37,0.6743159752868491,0.624210740715595,0.6711229946524064,0.5416149068322982,0.6253972457627119,0.627849122571102,0.6630136986301369,0.6268615554329839
38,0.7117123150070315,0.7057416267942584,0.7533422459893049,0.64614499424626,0.6666666666666666,0.7105493175553015,0.7320261437908497,0.7411229547151877
39,0.6698872785829308,0.6940092785584616,0.6730462519936204,0.603878909325127,0.6825911466948984,0.7040106951871659,0.6576142304297644,0.6926038500506586
40,0.6368760064412238,0.6409124855726798,0.6808170869652006,0.6135184508586043,0.5724598930481284,0.6340552134504946,0.6368760064412238,0.6427558257345491
41,0.7168949771689497,0.7620614035087719,0.7135502607088642,0.6259426847662142,0.7006589678345403,0.7014103887168903,0.6867617942240731,0.7057826588027931
42,0.7377398720682302,0.7359098228663445,0.7135537959944107,0.5998698763825634,0.6403508771929824,0.6684636118598383,0.6940092785584616,0.7244212098581031
43,0.6427558257345491,0.6501895991332611,0.6403508771929824,0.653220559531555,0.627849122571102,0.5929078014184397,0.6293150684931508,0.6335319609967497
44,0.7541311300639659,0.7547846889952152,0.7314232779726064,0.7244212098581031,0.6828429752066115,0.761133061005826,0.7384370015948963,0.761133061005826
45,0.7411229547151877,0.7135616438356165,0.7181940700808624,0.6815304948216341,0.6644487324505954,0.7244212098581031,0.6759878419452887,0.6777440706012134
46,0.6798630136986301,0.6872809729952587,0.7168201516793067,0.6746031746031746,0.7291291291291291,0.7021379644364492,0.6872809729952587,0.7625482625482626
47,0.690053050397878,0.7028985507246377,0.7305675406571523,0.6282943284840818,0.6988685237874677,0.7117123150070315,0.6759878419452887,0.6940092785584616
48,0.6153436689067802,0.6634634634634635,0.6495726495726495,0.652738565782044,0.6257936507936508,0.6458179870086387,0.6962962962962963,0.6952387330074332
49,0.6368760064412238,0.6711229946524064,0.6403508771929824,0.6245639534883721,0.5932539682539683,0.6622915690082368,0.6368760064412238,0.6443891615679419
50,0.6609292005647818,0.6622915690082368,0.6644487324505954,0.6557835820895522,0.6006758099781355,0.6368760064412238,0.5741055061443411,0.6566985645933014
