fold,KAB-XGBoost-WCE,Baseline XGBoost,Stock scale_pos_weight,Decision Tree,Naive Bayes,Logistic Regression,SVM,Random Forest
19,0.6557816469710742,0.6711309523809523,0.6394147423895707,0.606060606060606,0.7018955154877485,0.6813049525021804,0.6670433145009416,0.6797312430011198
20,0.6322749451948235,0.6634067403081686,0.6723195255305348,0.6535578791524013,0.7001488095238095,0.6605222734254992,0.6553030303030303,0.6772884592433465
21,0.6903703703703703,0.693055458423666,0.703016134946828,0.6788508102067423,0.6502051952220465,0.6575374531835206,0.6575374531835206,0.6735669161013591
22,0.6824524905916178,0.6443341026178987,0.6595075835800004,0.6458600476277707,0.6571474781081768,0.6430740037950664,0.619467787114846,0.6726817979944368
23,0.6486586067933218,0.6548623853211009,0.6502051952220465,0.6019047619047619,0.6690989192538033,0.6449494949494949,0.6353535353535353,0.6390328151986182
24,0.6868913857677903,0.6707113462669019,0.692929292929293,0.6345191040843214,0.6879665571812481,0.6629032258064516,0.6761363636363636,0.6780112044817928
25,0.5902622413912402,0.5999031298290933,0.5691313908741067,0.530831958951805,0.583732057416268,0.5746530989824237,0.5640989988876529,0.5597147950089127
26,0.642333028576787,0.6619312187917575,0.6452752293577981,0.6452272991512615,0.6737373737373737,0.6815294090067281,0.6619312187917575,0.6735669161013591
27,0.6292250233426704,0.6452272991512615,0.6449494949494949,0.6043859649122807,0.6646956362302897,0.6575374531835206,0.6719298245614035,0.6460503421876813
28,0.7099907493061979,0.7164309532022537,0.7031794026021623,0.6595075835800004,0.6889952153110048,0.7011275992216986,0.7059529026454783,0.7184596804162022
29,0.6438940875724102,0.667887667887668,0.6678930926761542,0.6295936538772867,0.6719851576994433,0.6728936332443767,0.6443431176973496,0.6332443766679374
30,0.631858407079646,0.634074074074074,0.6101353696633114,0.5759429153924567,0.6538141470180305,0.6745674053662751,0.6430426716141002,0.6288156288156288
31,0.5887445887445888,0.5761430678466076,0.6124401913875598,0.5914683224100264,0.6170056807769837,0.6133209990749307,0.5761430678466076,0.5947368421052631
32,0.6496554293164463,0.6815789473684211,0.7128594980765708,0.6313932980599647,0.6889667330631684,0.7054365656985744,0.7256649395509499,0.70354609929078
33,0.6072613385918106,0.6440997790868925,0.6411154612267326,0.6622807017543859,0.6554945054945055,0.6460503421876813,0.6541643684500827,0.6452272991512615
34,0.5781695858949079,0.5945162572169889,0.6076465201465202,0.5749748720226269,0.6214549372950914,0.6260467113581603,0.5523374930154592,0.5847455646198079
35,0.6400377492037277,0.6487394957983192,0.659163470151825,0.6532079646017699,0.6687644991616326,0.6914761904761905,0.6735669161013591,0.648672964462438
36,0.6455624646693047,0.693055458423666,0.6650641025641025,0.6502051952220465,0.6937728937728938,0.6521321236842723,0.6415925101965146,0.6699182460052026
37,0.6679101899827289,0.6729565537555229,0.6887386871348379,0.6661573720397249,0.7032881480124564,0.6868913857677903,0.6855105678635091,0.6719298245614035
38,0.6325339334693016,0.606348099058249,0.6361553967381345,0.5869185512042654,0.6022880986771213,0.6292250233426704,0.6053570179732848,0.6335990276057129
39,0.6028569408104094,0.636389063701839,0.6486405183385399,0.6124825337680484,0.6778175933418102,0.6474576271186441,0.6332432114729046,0.63881157972359
40,0.6474576271186441,0.6572504708097928,0.6486405183385399,0.614386355209492,0.6791023842917251,0.7015781922525108,0.6487071528818478,0.6410656454624968
41,0.6299183626537886,0.6410168327035384,0.6303603831224016,0.6056240795287187,0.6267857142857143,0.6474896605900973,0.6744548286604362,0.6303603831224016
42,0.6551155115511551,0.6505897171647773,0.6545454545454545,0.6314439482422993,0.6637709137709138,0.6650027477559992,0.6650027477559992,0.6455353868720206
43,0.6629032258064516,0.6859504132231404,0.6789554531490015,0.6074380165289256,0.6646956362302897,0.6684660368870895,0.6691190165766436,0.6510523221634332
44,0.6236842105263158,0.6729565537555229,0.6359552621928859,0.6218710637810603,0.6744548286604362,0.6345898314567452,0.6363530912887136,0.6729565537555229
45,0.6292250233426704,0.6169585894907783,0.6455353868720206,0.6125324434556916,0.6211422408847892,0.6160260033917467,0.6028457545420838,0.6584967320261439
46,0.7243263614094592,0.7011275992216986,0.7074642619490145,0.6423219241443108,0.7080270239322111,0.710029394473839,0.6750989259468627,0.7055785123966942
47,0.634477216865192,0.6466942148760331,0.638466683580506,0.6399236356863476,0.6468041762159409,0.648672964462438,0.6275040992371854,0.6387764282501125
48,0.6443562110039704,0.619467787114846,0.6339417404129793,0.6061805162992274,0.6637709137709138,0.6245059288537549,0.628183520599251,0.6325339334693016
49,0.6430233925002939,0.6438940875724102,0.6537180910099889,0.5765151515151515,0.6970523638885677,0.6454545454545455,0.6366726465867245,0.6498399525785419
50,0.6259953763164654,0.6466783013379872,0.6346153846153846,0.5912611258814009,0.6387467290368896,0.6332443766679374,0.6048687821008936,0.6213980095974281
